date,USD/CAD,USD/EUR,USD/GBP
03/10/2013,1.0284,0.7675,0.6651
03/03/2013,1.0254,0.763,0.6609
2/24/2013,1.014,0.7521,0.6512
2/17/2013,1.0035,0.7468,0.6402
02/10/2013,0.9979,0.7402,0.6361
02/03/2013,1.0023,0.7388,0.6342
1/27/2013,0.9973,0.7488,0.6315
1/20/2013,0.9864,0.7498,0.6241
1/13/2013,0.9859,0.7604,0.6217
01/06/2013,0.9907,0.7601,0.6183
12/30/2012,0.9934,0.7571,0.6193
12/23/2012,0.9877,0.7577,0.6166
12/16/2012,0.986,0.7678,0.6208
12/09/2012,0.992,0.7684,0.6225
12/02/2012,0.9931,0.7711,0.6241
11/25/2012,0.9971,0.779,0.6273
11/18/2012,1.0011,0.7856,0.6298
11/11/2012,0.9967,0.7825,0.6259
11/04/2012,0.9981,0.7739,0.6218
10/28/2012,0.994,0.77,0.6233
10/21/2012,0.9838,0.7676,0.6219
10/14/2012,0.9785,0.7723,0.6228
10/07/2012,0.9824,0.7729,0.6194
9/30/2012,0.9804,0.7746,0.6171
9/23/2012,0.9744,0.7664,0.6161
9/16/2012,0.974,0.7744,0.6213
09/09/2012,0.9847,0.7915,0.6283
09/02/2012,0.9895,0.7976,0.632
8/26/2012,0.9903,0.8032,0.6336
8/19/2012,0.9902,0.8116,0.6372
08/12/2012,0.9962,0.8095,0.6394
08/05/2012,1.0029,0.8135,0.6391
7/29/2012,1.013,0.8206,0.6409
7/22/2012,1.0122,0.8167,0.6397
7/15/2012,1.0187,0.8158,0.6448
07/08/2012,1.0157,0.7995,0.6405
07/01/2012,1.0247,0.7975,0.6407
6/24/2012,1.0225,0.792,0.6382
6/17/2012,1.0253,0.7954,0.6427
06/10/2012,1.0339,0.8005,0.6481
06/03/2012,1.0302,0.8022,0.6434
5/27/2012,1.0235,0.7901,0.6353
5/20/2012,1.0098,0.7819,0.6269
5/13/2012,0.9988,0.7701,0.6198
05/06/2012,0.9869,0.7584,0.6169
4/29/2012,0.9869,0.7571,0.6185
4/22/2012,0.9944,0.7617,0.6259
4/15/2012,0.9986,0.7628,0.6293
04/08/2012,0.9948,0.7571,0.6276
04/01/2012,0.9965,0.7509,0.6274
3/25/2012,0.9935,0.7564,0.6306
3/18/2012,0.9914,0.7628,0.6365
03/11/2012,0.9934,0.7588,0.6338
03/04/2012,0.9929,0.7483,0.6295
2/26/2012,0.9968,0.7526,0.6328
2/19/2012,0.9987,0.7604,0.6345
02/12/2012,0.9964,0.7578,0.6324
02/05/2012,0.9994,0.76,0.6339
1/29/2012,1.007,0.766,0.6398
1/22/2012,1.0156,0.781,0.6489
1/15/2012,1.022,0.785,0.6497
01/08/2012,1.0187,0.7754,0.6438
01/01/2012,1.0206,0.7688,0.6428
12/25/2011,1.0287,0.7661,0.6406
12/18/2011,1.0303,0.7615,0.6427
12/11/2011,1.0159,0.7467,0.6392
12/04/2011,1.0277,0.7479,0.6415
11/27/2011,1.0402,0.7459,0.6411
11/20/2011,1.021,0.7364,0.6303
11/13/2011,1.0161,0.7289,0.6243
11/06/2011,1.0084,0.7217,0.6239
10/30/2011,1.0018,0.7146,0.6241
10/23/2011,1.0135,0.724,0.6324
10/16/2011,1.0241,0.7314,0.6374
10/09/2011,1.0461,0.7494,0.6453
10/02/2011,1.0326,0.7397,0.6421
9/25/2011,1.0036,0.7343,0.6412
9/18/2011,0.9893,0.7289,0.6323
09/11/2011,0.9892,0.7147,0.6239
09/04/2011,0.9794,0.6954,0.6138
8/28/2011,0.9869,0.6934,0.609
8/21/2011,0.9858,0.6961,0.6089
8/14/2011,0.9869,0.7012,0.6137
08/07/2011,0.9651,0.7004,0.6113
7/31/2011,0.9486,0.6949,0.6114
7/24/2011,0.9507,0.7028,0.618
7/17/2011,0.9612,0.7075,0.6233
07/10/2011,0.9611,0.6943,0.6233
07/03/2011,0.975,0.6958,0.6244
6/26/2011,0.9792,0.7,0.621
6/19/2011,0.9777,0.6988,0.6156
06/12/2011,0.9777,0.6868,0.611
06/05/2011,0.9752,0.6933,0.6084
5/29/2011,0.9767,0.7067,0.6139
5/22/2011,0.971,0.7044,0.6168
5/15/2011,0.9635,0.7004,0.6126
05/08/2011,0.9558,0.6805,0.605
05/01/2011,0.9508,0.6803,0.603
4/24/2011,0.9562,0.6919,0.6099
4/17/2011,0.9592,0.6916,0.6124
04/10/2011,0.9607,0.6991,0.6149
04/03/2011,0.9726,0.7076,0.6231
3/27/2011,0.9798,0.7063,0.6168
3/20/2011,0.9814,0.7142,0.6204
3/13/2011,0.9723,0.7187,0.6185
03/06/2011,0.9738,0.7216,0.6157
2/27/2011,0.9843,0.7288,0.6179
2/20/2011,0.9862,0.737,0.6205
2/13/2011,0.9909,0.7351,0.6219
02/06/2011,0.9931,0.7309,0.6226
1/30/2011,0.9957,0.7324,0.6285
1/23/2011,0.9919,0.7437,0.6273
1/16/2011,0.9908,0.7632,0.6374
01/09/2011,0.9952,0.7585,0.6436
01/02/2011,1.002,0.7561,0.6464
12/26/2010,1.0125,0.7612,0.6463
12/19/2010,1.0079,0.7535,0.6373
12/12/2010,1.0076,0.7523,0.634
12/05/2010,1.0147,0.7576,0.6401
11/28/2010,1.0166,0.7436,0.6322
11/21/2010,1.0161,0.734,0.6246
11/14/2010,1.0043,0.7236,0.6204
11/07/2010,1.0089,0.7124,0.6206
10/31/2010,1.0226,0.7187,0.631
10/24/2010,1.0221,0.718,0.633
10/17/2010,1.0086,0.7158,0.6272
10/10/2010,1.016,0.7219,0.6295
10/03/2010,1.0263,0.7351,0.6322
9/26/2010,1.029,0.7536,0.638
9/19/2010,1.0296,0.7724,0.6438
09/12/2010,1.0376,0.7833,0.6488
09/05/2010,1.0514,0.7821,0.6472
8/29/2010,1.0542,0.7873,0.6449
8/22/2010,1.0393,0.7813,0.6414
8/15/2010,1.0362,0.7686,0.6351
08/08/2010,1.0231,0.7586,0.63
08/01/2010,1.033,0.769,0.6422
7/25/2010,1.0454,0.7753,0.6535
7/18/2010,1.039,0.784,0.6576
07/11/2010,1.0501,0.7929,0.6602
07/04/2010,1.0514,0.808,0.6628
6/27/2010,1.0305,0.8105,0.6709
6/20/2010,1.0272,0.8138,0.6779
6/13/2010,1.0458,0.8319,0.6885
06/06/2010,1.0493,0.8204,0.687
5/30/2010,1.0599,0.8098,0.692
5/23/2010,1.0474,0.8061,0.6931
5/16/2010,1.0268,0.7913,0.6774
05/09/2010,1.0294,0.7717,0.6645
05/02/2010,1.0072,0.7523,0.6527
4/25/2010,1.0045,0.7457,0.651
4/18/2010,1.0038,0.7373,0.6489
04/11/2010,1.004,0.7446,0.655
04/04/2010,1.0162,0.7415,0.6616
3/28/2010,1.0213,0.7443,0.6687
3/21/2010,1.0155,0.7313,0.6596
3/14/2010,1.0248,0.7317,0.6631
03/07/2010,1.0368,0.7347,0.6633
2/28/2010,1.0497,0.7361,0.6505
2/21/2010,1.0455,0.7341,0.6402
2/14/2010,1.0625,0.7304,0.6389
02/07/2010,1.0664,0.7227,0.6303
1/31/2010,1.0624,0.7123,0.62
1/24/2010,1.0401,0.7025,0.6152
1/17/2010,1.0305,0.6914,0.6175
01/10/2010,1.0382,0.696,0.6232
01/03/2010,1.0487,0.696,0.6234
12/27/2009,1.0555,0.6973,0.6237
12/20/2009,1.0631,0.6897,0.616
12/13/2009,1.0563,0.6778,0.6121
12/06/2009,1.0538,0.6659,0.6043
11/29/2009,1.0604,0.6679,0.6042
11/22/2009,1.0572,0.6707,0.5994
11/15/2009,1.0562,0.6697,0.6002
11/08/2009,1.0729,0.6759,0.6062
11/01/2009,1.0683,0.6736,0.6099
10/25/2009,1.0437,0.6681,0.6088
10/18/2009,1.0343,0.6735,0.6235
10/11/2009,1.0608,0.6806,0.6271
10/04/2009,1.0833,0.6845,0.6273
9/27/2009,1.0777,0.6794,0.6176
9/20/2009,1.0734,0.6821,0.6065
9/13/2009,1.0794,0.691,0.6051
09/06/2009,1.0964,0.7001,0.6139
8/30/2009,1.0859,0.6989,0.6116
8/23/2009,1.0959,0.7039,0.6066
8/16/2009,1.0901,0.7042,0.6038
08/09/2009,1.0748,0.6982,0.5943
08/02/2009,1.0827,0.7052,0.6059
7/26/2009,1.0999,0.7046,0.6082
7/19/2009,1.135,0.7126,0.6131
07/12/2009,1.1622,0.7169,0.6167
07/05/2009,1.1562,0.7119,0.6077
6/28/2009,1.1483,0.7151,0.6081
6/21/2009,1.1296,0.7184,0.6098
6/14/2009,1.1123,0.7142,0.615
06/07/2009,1.0975,0.7068,0.6149
5/31/2009,1.1131,0.7143,0.6252
5/24/2009,1.1497,0.7292,0.6427
5/17/2009,1.1646,0.7353,0.658
05/10/2009,1.1707,0.7471,0.6643
05/03/2009,1.2035,0.757,0.6783
4/26/2009,1.2253,0.7659,0.6826
4/19/2009,1.2156,0.7584,0.6743
04/12/2009,1.2319,0.7518,0.6788
04/05/2009,1.2472,0.7505,0.6906
3/29/2009,1.233,0.7397,0.6891
3/22/2009,1.2572,0.7554,0.704
3/15/2009,1.2832,0.7833,0.7181
03/08/2009,1.2838,0.7929,0.7068
03/01/2009,1.2545,0.7836,0.695
2/22/2009,1.2513,0.7866,0.6993
2/15/2009,1.2327,0.7745,0.6871
02/08/2009,1.2322,0.7776,0.6895
02/01/2009,1.2257,0.7676,0.7073
1/25/2009,1.2506,0.7664,0.7088
1/18/2009,1.224,0.7525,0.6762
01/11/2009,1.1926,0.7331,0.6715
01/04/2009,1.217,0.7129,0.6864
12/28/2008,1.2165,0.7146,0.6767
12/21/2008,1.2201,0.7204,0.6593
12/14/2008,1.2547,0.7671,0.6739
12/07/2008,1.2556,0.7879,0.671
11/30/2008,1.2422,0.7813,0.6567
11/23/2008,1.2493,0.7944,0.6715
11/16/2008,1.2091,0.7896,0.6562
11/09/2008,1.1846,0.782,0.6295
11/02/2008,1.2496,0.7871,0.6252
10/26/2008,1.2293,0.7681,0.6042
10/19/2008,1.172,0.7402,0.5782
10/12/2008,1.1227,0.7354,0.576
10/05/2008,1.0588,0.7076,0.5579
9/28/2008,1.0374,0.6837,0.5418
9/21/2008,1.062,0.6994,0.5538
9/14/2008,1.0661,0.7067,0.5656
09/07/2008,1.0653,0.6908,0.5602
8/31/2008,1.0507,0.6791,0.5439
8/24/2008,1.0558,0.6777,0.5365
8/17/2008,1.0645,0.6723,0.5292
08/10/2008,1.0449,0.6499,0.5126
08/03/2008,1.0232,0.6397,0.5042
7/27/2008,1.0096,0.6337,0.5013
7/20/2008,1.0048,0.6294,0.5007
7/13/2008,1.0147,0.6348,0.5053
07/06/2008,1.0159,0.634,0.5025
6/29/2008,1.0128,0.639,0.5056
6/22/2008,1.0204,0.6448,0.5096
6/15/2008,1.023,0.6433,0.5105
06/08/2008,1.008,0.6426,0.5087
06/01/2008,0.9909,0.6385,0.5053
5/25/2008,0.9907,0.638,0.5082
5/18/2008,1.0028,0.6453,0.5126
05/11/2008,1.0109,0.6471,0.5094
05/04/2008,1.014,0.6429,0.505
4/27/2008,1.0105,0.6328,0.5034
4/20/2008,1.0133,0.6314,0.5053
4/13/2008,1.0157,0.6343,0.5054
04/06/2008,1.0168,0.6363,0.5027
3/30/2008,1.0197,0.6397,0.5013
3/23/2008,1.0053,0.6404,0.5004